SMILES,Reward
CC(=O)C(=O)c1cc(-c2ccccc2)[nH]c1N1CCCC1,0.616048546
S=C(NCc1cccnc1)SSCc1cc(Cl)sc1Cl,0.695426729
Cc1noc(C)c1CC1C(=O)C(=O)c2cc(S(=O)(=O)N3CCOCC3)ccc21,0.506875308
CC1CCCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2CC1COc2ccccc2O1,0.514812305
O=C(NC(CC1CCNC1=O)C(=O)CO)C(=S)NC(=O)C1CCCO1,0.483592081
CCC(C)(C)NC(=O)C(C(=O)NC(CC1CCNC1=O)C(=O)CO)c1cc(C)n(Cl)c1,0.855694513
O=C(SCc1cc(Cl)sc1Cl)Sn1nnc2ccccc21,0.549305898
COc1cccc2[nH]c(C(=O)NC(CC(C)C)C(=O)COC(=O)c3ccc(C)cc3)cc12,0.827277394
O=CC(CC1CCNC1=O)NC(=O)C(Cc1ccccc1)SCc1cc(Cl)sc1Cl,0.915586496
O=C(Cn1nnc2ccccc21)c1ccc(C2CC(c3cccs3)=NN2C(=O)CCl)cc1,0.890073107
CN(CC(=O)NC1CCCC1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,0.537600624
COc1ccc2cc1CCNC(=O)C2C(C)C(=O)NC(CC1CCNC1=O)C(=O)CO,0.660074749
CN(CC(=O)NC1CCCC1)S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,0.755700674
CC1=CC(C)=C(C)C(S(=O)(=O)N2CCN(C(=O)CCl)CC2)=c2c3c(sc2=N1)CC(C)CC3,0.697250287
O=CC(CC1CCNC1=O)NC(=O)C(C1CCCC1)N1CCN(c2ccccc2)CC1,0.562272055
CC(C)c1ccc(N(C(=O)c2ccco2)C2(C(=O)NC3CCCC3)CCCCC2)cc1,0.595549943
CC1CCC(C)C2CCNC(=O)c3ccc(C#N)cc3C(=O)OCC(=O)C(C2)NC1=O,0.60361426
CCC1(OC(=O)NCC2CCNC2=O)CCN(C(=O)OC(C)(C)C)CC1,0.493636028
CC(C)(C)OC(=O)Nc1cccn(C(CC2CCNC2=O)C(=O)C(=O)NC2CC2)c1=O,0.558947347
CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)C(=O)NC(C)C(=O)NC(C=O)Cc1c[nH]cn1)C(C)C,0
COc1cccc2[nH]c(C(=O)NC(C=O)CCC(=O)N(C)C)cc12,0.594638163
CC(C)CC1=C2C(=NC(=O)C(=O)N2Cc2cc3ccccc3s2)S1,0.570227534
CC1CC(C)C(=O)N(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3c2ccccc2)C1,0.257068342
O=C(Cn1nnc2ccccc21)c1ccc(C2CC(c3cccs3)C2)o1,0.651924183
COc1cc(C2CC(c3cccs3)=NN2C(=O)CCl)ccc1OC(=O)NC(CC(C)C)C(=O)NC(C=O)CC1CCNC1=O,0.805799244
CC(C)CC(NC(=O)c1cc2ccccc2[nH]1)C(=O)C(=O)NC1CC1,0.65707861
CC1CCC2C(=O)N(c3cc(Cl)ccc3NC(=O)c3ccco3)C(=O)C2C1,0.587931247
CCN(CC(=O)C(=O)N1CCCCC1)C(=O)c1cc2c(=O)c(OC)cccc2[nH]1,0.672660999
O=C(OSc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2ccccc2)o1,0.648928043
CCC1(OC(=O)NC(CC(C)C)C(=O)NC(C=O)CCNC(=O)c2cc3c(OC)cccc3[nH]2)C=C1,0.755823887
CN1C(=S)C(=O)c2cc(S(=O)(=O)N3CCOCC3)ccc21,0.634446361
O=CC(CC1CCNC1=O)NC(=O)C(CC1CCCC1)NC(Cc1ccccc1)C(=O)O,0.778271316
CC(=O)NC(CC1CCCCC1)C(=O)NC(C(=O)NC1CCC1)S(=O)(=O)c1cccc(Cl)c1,0.992272466
COc1cccc2[nH]c(C(=O)NC(CC(C)C)C(=O)NC(CC3CCNC3=O)C(=O)COS(=O)(=O)c3c(C)ccc4nc(-c5ccc(N)cc5)sc34)cc12,1
CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)C(=O)CC3(C)CCCC12C,0.656476918
S=CC(NCc1cccnc1)SCc1cc(Cl)sc1Cl,0.674073846
CCOC(=O)C=CCC1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3)C1,0.516874076
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1c[nH]cn1)c1ccccc1CC1CC2CCCCC2CN1C(=O)c1ccc(Br)cc1,0.47586044
CC(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(=O)NC(C=O)Cc1c[nH]cn1)c1ccccc1,0.799698127
COCC(=O)C(CC1CCNC1=O)NC(=O)C(Cc1cccc(F)c1)N1CCN(c2ccccc2)CC1,0.702981764
CC(=O)NC(CO)C(=O)NC(C)CC(=O)NC(C(=O)NC(CC(C)C)C(=O)NC(C=O)Cc1c[nH]cn1)C(C)C,0.776318383
COc1ccccc1OCCNC(=O)C(CC(C)C)NC(=O)c1cc2c(OC)cccc2[nH]1,0.831591917
CC(C)(C)OC(=O)CNC(=O)C(C(=O)NC(C=O)CC1CCNC1=O)c1ccsc1,0.696636274
CC(C)(C)CC1NC(=O)C(CCc2ccccc2)N1C(=O)C(=O)c1cc2ccccc2[nH]1,0.506185313
Cc1noc(C)c1CCNC(=O)c1cc(=O)[nH]c2ccccc12,0.683567439
CC(C)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cnccn1,0.560933136
O=C(Cn1nnc2ccccc21)N1CCN(c2cccc(C(F)(F)F)c2)CC1,0.36725193
N#Cc1ccc(N2CCCCCC(C(=O)NC3CCCC3)C(c3ccccc3)N2)cc1,#VALUE!
C=c1c(O)c(O)cc2c1=CCC=C1C2(C)CCC2(C)C3CC(C)C(=O)CC3(C)CCC12C,0.540662477
O=C(O)c1sc(Cl)cc1CSC(=S)NCc1cccnc1,0.470036553
CC(C)CNN(C(=O)C(=O)NC1CCCC1)S(=O)(=O)c1cccc(Cl)c1,0.644822983
CC(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(=O)NC1CCCC1)S(=O)(=O)c1cccc(Cl)c1,0.387339823
CC(C)CC(NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)CN(C)C(=O)c1cc2ccccc2[nH]1,0.591629703
CC1CCC2C=CC(C(=O)NC3CCCC3)N(C(=O)c3ccco3)c3ccc(Cl)cc3N(C1)C2=O,0.428384262
O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C=Cc2ccccc2)o1,0.336495811
O=C(Oc1cncc(Cl)c1)C1=Cc2ccc(S(=O)(=O)N3CCCCC3)cc2C1=O,0.411890094
CN(CC(=O)NC1CCCC1)SC(=O)c1ccc2[nH]ccc2c1,0.780682192
CC(OC(C)(C)C)C(NC(=O)OC1CCCC1)OC(=O)c1cc(=O)[nH]c2ccccc12,0.801484722
COc1ccc(C(NC(=O)C(CC(C)C)NC(=O)c2cc3c(OC)cccc3[nH]2)C(=O)NCC2CC2)cc1,0.878172745
CC(C)c1ccc(N2CCCCCC(=CC3CCOC(c4ccccc4C(=O)O)CC3)C(c3ccccc3)N2)cc1,0.46575078
CC(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(=O)NC(C=O)Cc1c[nH]c2ccccc12)c1ccco1,#VALUE!
CC(C)CCC1NC(=O)C(=O)c2cc(S(=O)(=O)N3CCOCC3)ccc21,0.581918433
C=C(CS(=O)NC(CC1CCNC1=O)C(=O)CO)c1ccccc1SCCCN(C)C,0.938592492
N#CC1CCC2CC2=CC=C(C2=NN(C(=O)CCl)C(c3ccco3)C2)O1,0.581657631
CC1C=CN(S(=O)(=O)C2=CC=C3C(C(=O)Oc4cncc(Cl)c4)=CC=C32)CC(C)C1,0.527166502
COc1ccc(CC(=O)C(CC2CCCCC2)NC(=O)c2cc3c(OC)cccc3[nH]2)cc1,0.799698127
Cc1ccc(C2=NN(C(=O)CCl)C(c3ccco3)C2)c2cc(O)cc(O)c12,0.780464515
CC(C)CC(C(=O)NC(C=O)CC1CCNC1=O)C(=O)C(=O)NCc1ccccc1,0.834752341
O=C(NC(Cc1ccccc1)C(=O)On1nnc2ccccc21)C1CCCC1,0.726987843
CN(CC(=O)NC1CCCC1)S(=O)(=O)c1ccc2cc[nH]c2c1,0.647519303
O=C(Oc1cncc(Cl)c1)N1CCN(c2ccccc2)CC1,0.773266798
O=C(Sc1nnc(C(F)(F)F)[nH]1)c1ccc(C#Cc2cccs2)o1,0.38860276
O=C(NCCOc1c(O)n(-c2ccccc2F)c(=O)[nH]c1=O)c1ccco1,0
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)C(=O)NC1CC1)C(=O)c1cnc[nH]1,0.769315755
CC1=CC=C(C2=NN(C(=O)CCl)C(c3ccco3)C=C2)C1=O,0.632694677
CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)N(C(=O)c1cnc[nH]1)C(C(=O)NC(C)(C)C)c1cccnc1,0.789483736
CC(=O)NC(CO)C(=O)NC(C)C(=O)NC(C(=O)NC(CCC(C)C)C(=O)NC(C=O)Cc1c[nH]cn1)C(C)C,0.779402826
CC(=O)NC(CO)C(=O)NC(C)C(=O)NC(SCc1cc(Cl)sc1Cl)C(=O)NC(C=O)Cc1cccnc1,0.911914736
